mva,vin,desc
59538566,7MMVABDL4TN459719,MAZDA CX50 AWD
59073803,KNDEPCAA0T7860244,KIA SELTOS AWD
55165806,1FBAX2YG5RKA28797,FORD TRANSIT WAGON
58859522,N/A,N/A
59135646,N/A,N/A
56783510,5XYP6DGC7SG618451,KIA TELLURIDE AWD
59336060,N/A,N/A
